	Japanese	English	Japanese Example	English Sentence	listening score	speaking score
651	とうじ	at that time, at the present time	かのじょ は <b>とうじ</b> まだ さんさい だった	She was only three years old at the time.	0	0
652	ほんとう	truth, reality	その はなし は <b>ほんとう</b> です か	Is the story true?	0	0
653	とうぜん	natural, as a matter of course	かのじょ が おこる の も <b>とうぜん</b> だ	It's natural that she should be angry.	0	0
654	ボール	ball	かれ は <b>ぼーる</b> を なげた	He threw the ball.	0	0
655	ぜんぜん	wholly, at all	この ほん は <b>ぜんぜん</b> おもしろく なかった	This book wasn't interesting at all.	0	0
656	ほうほう	method, procedure	いい <b>ほうほう</b> を おもいつきました	We hit on a good method.	0	0
657	ほうりつ	law	あたらしい <b>ほうりつ</b> が できた	A new law has been passed.	0	0
658	きそく	rule, regulation	あの かいしゃ の <b>きそく</b> は きびしい です	That company's rules are strict.	0	0
659	オートバイ	motorbike, motorcycle	かれ は <b>おーとばい</b> に のって いる	He rides a motorcycle.	0	0
660	けいけん	experience	きょう の しあい は いい <b>けいけん</b> に なりました	Today's game was a good experience.	0	0
661	けいざい	economy, economics	だいがく で <b>けいざい</b> を べんきょう しました	I studied economics in college.	0	0
662	けいえい	management, operation	わがしゃ の <b>けいえい</b> は うまく いって います	Our company is well managed.	0	0
663	ひどい	cruel, severe	いもうと と <b>ひどい</b> けんか を した	I had an awful fight with my little sister.	0	0
664	かぶ	stocks, shares	さいきん <b>かぶ</b> を はじめました	I recently started investing in stocks.	0	0
665	きぎょう	corporation, business	かのじょ は あめりか の <b>きぎょう</b> で はたらいて います	She works in an American company.	0	0
666	さぎょう	work, operation	<b>さぎょう</b> する に は もっと ひろい すぺーす が ひつよう だ	I need a bigger space to work.	0	0
667	さんぎょう	industry	にほん の じどうしゃ <b>さんぎょう</b> は せかいてき に ゆうめい だ	The Japanese auto industry is famous worldwide.	0	0
668	あなた	you	この ほん <b>あなた</b> に あげます	I'll give you this book.	0	0
669	こうぎょう	industry, manufacturing industry	そこ は <b>こうぎょう</b> とし だ	That's an industrial city.	0	0
670	しょうぎょう	commerce, trade	この まち で は <b>しょうぎょう</b> が さかん だ	Business is thriving in this city.	0	0
671	りよう	utilization, usage	わたし は よく としょかん を <b>りよう</b> します	I often use the library.	0	0
672	べんり	convenience, handiness	いんたーねっと は とても <b>べんり</b> です	The Internet is very convenient.	0	0
673	スイッチ	switch	かれ は かーらじお の <b>すいっち</b> を いれた	He hit the switch on his car radio.	0	0
674	ぎじゅつ	skill, technology	かれ は ひじょう に たかい <b>ぎじゅつ</b> を もって いる	He has very advanced skills.	0	0
675	しゅじゅつ	surgical operation	ちち は むね の <b>しゅじゅつ</b> を した	My father had a chest operation.	0	0
676	せいぞう	production, manufacture	この こうじょう で は えあこん を <b>せいぞう</b> して います	This factory manufactures air conditioning units.	0	0
677	かならず	without fail, certainly	<b>かならず</b> しーとべると を つけて ください	Always wear your seat belt.	0	0
678	プレゼント	present, gift	たんじょうび に <b>ぷれぜんと</b> を もらいました	I got some presents on my birthday.	0	0
679	ひつよう	need, necessity	わたし に は たくさん の おかね が <b>ひつよう</b> だ	I need a lot of money.	0	0
680	じゅうよう	important, essential	これ は <b>じゅうよう</b> な しょるい です	This is an important document.	0	0
681	ようきゅう	requirement, demand	かれ は わたし の <b>ようきゅう</b> に こたえた	He answered my demands.	0	0
682	めざましどけい	alarm clock	しちじ に <b>めざましどけい</b> が なりました	The alarm clock went off at seven o'clock.	0	0
683	いつでも	always, at all times	<b>いつでも</b> うち に きて ください	Please come to my house any time.	0	0
684	けいさん	calculation	その <b>けいさん</b> は まちがって いる	That calculation is wrong.	0	0
685	ひきざん	subtraction	むすめ は がっこう で <b>ひきざん</b> を ならって いる	My daughter's learning subtraction at school.	0	0
686	たしざん	addition	むすめ は がっこう で <b>たしざん</b> を ならった	My daughter learned addition in school.	0	0
687	こうさてん	crossing, intersection	つぎ の <b>こうさてん</b> を ひだり に まがって ください	Please turn left at the next intersection.	0	0
688	テニス	tennis	かれら は よく <b>てにす</b> を して います	They often play tennis.	0	0
689	わる	divide, crack, split	さら を おとして <b>わった</b>	I dropped the plate and broke it.	0	0
690	われる	crack, be divided, split	こっぷ が おちて <b>われた</b>	The glass fell and broke.	0	0
691	わりざん	division	<b>わりざん</b> は しょうがっこう で ならいます	Division is learned in elementary school.	0	0
692	のこる	remain, be left over	りょうり が たくさん <b>のこりました</b>	A lot of food was left over.	0	0
693	こちら	here, this way	うけつけ は <b>こちら</b> です	The reception desk is this way.	0	0
694	のこす	leave, reserve, leave undone	かのじょ は めっせーじ を <b>のこしました</b>	She left a message.	0	0
695	そば	side, vicinity@buckwheat noodles, soba	<b>そば</b> に いて ください@おひる に <b>そば</b> を たべた	Stay with me.@I ate buckwheat noodles for lunch.	0	0
696	へんじ	answer, reply	てがみ の <b>へんじ</b> を だしました	I sent a reply to the letter.	0	0
697	かりる	borrow	かれ に びでお を <b>かりました</b>	I borrowed a video from him.	0	0
698	ボタン	button	<b>ぼたん</b> を おして ください	Please press the button.	0	0
699	かす	lend, lease	わたし は かれ に ほん を <b>かして います</b>	I'm lending him the book.	0	0
700	かしだす	lend, lend out	その ほん は <b>かしだし</b>ちゅう です	That book is currently on loan.	0	0
701	もうしこむ	apply, make a proposal	かのじょ は その せみなー に <b>もうしこんだ</b>	She registered for that workshop.	0	0
702	おくる	offer, give@send	はは に はな を <b>おくった</b>@かれ の いえ に にもつ を <b>おくりました</b>	I sent my mother some flowers.@I sent a package to his house.	0	0
703	かぎる	be limited to	この さーびす は しゅうまつ に <b>かぎります</b>	This service is limited to weekends.	0	0
704	いそぐ	hurry, hasten	わたしたち は えき へ <b>いそぎました</b>	We hurried to the station.	0	0
705	きゅうに	suddenly, unexpectedly	<b>きゅうに</b> ようじ を おもいだした	I suddenly remembered I have something to do.	0	0
706	ひ	sun, sunlight, day@fire	なつ は <b>ひ</b> が ながい@<b>ひ</b> を けして	The days are long in summer.@Put the fire out.	0	0
707	きれる	run out, expire, can cut	この はさみ は よく <b>きれます</b> ね	These scissors cut well.	0	0
708	ドラマ	drama, theater, soap opera	わたし は <b>どらま</b> を みる の が すき です	I like to watch TV dramas.	0	0
709	きって	postage stamp	ゆうびんきょく で <b>きって</b> を かいました	I bought a stamp at the post office.	0	0
710	うりきれる	be sold out, go out of stock	その ほん は すぐ <b>うりきれた</b>	The book sold out quickly.	0	0
711	うりきれ	sellout, sold out	ちけっと は もう <b>うりきれ</b> だって	The tickets have sold out already.	0	0
712	たいせつ	important, valuable	これ は はは が <b>たいせつ</b> に して いた ゆびわ です	This is a ring that meant a lot to my mother.	0	0
713	ビザ	visa	がくせい <b>びざ</b> を もって います	He has a student visa.	0	0
714	きっぷ	ticket	とうきょう まで の <b>きっぷ</b> を かった	I bought a ticket to Tokyo.	0	0
715	にゅうじょうけん	entrance ticket	<b>にゅうじょうけん</b> は さんぜんえん です	The admission ticket is 3,000 yen.	0	0
716	かみ	superiors, people in authority@god, spirit@paper@hair, hairstyle	お<b>かみ</b> は なに を かんがえて る ん だろう ね@かれ は <b>かみ</b> を しんじて いる@<b>かみ</b> と えんぴつ は あります か@きのう <b>かみ</b> を きりました	What is the government planning on?@He believes in God.@Do you have paper and pencil?@I had my hair cut yesterday.	0	0
717	なくなる	die, pass away@disappear, run short, get lost	おととい むかし の ゆうじん が <b>なくなった</b>@もう おかね が <b>なくなりました</b>	An old friend died the day before yesterday.@I've run out of money already.	0	0
718	やちん	rent	ここ の <b>やちん</b> は じゅうにまんえん です	The rent here is 120,000 yen.	0	0
719	じだい	age, antiquity	いま は べんりさ と すぴーど の <b>じだい</b> だ	This is the age of convenience and speed.	0	0
720	ポケット	pocket	さいふ を <b>ぽけっと</b> に しまった	I put my wallet in my pocket.	0	0
721	ゆび	finger, toe	かれ は <b>ゆび</b> が ふとい	His fingers are fat.	0	0
722	けってい	decision, settlement	かいぎ で じゅうよう な <b>けってい</b> が ありました	An important decision was made at the conference.	0	0
723	そろそろ	soon, quietly	<b>そろそろ</b> はじめましょう か	It's about time to begin.	0	0
724	いってい	constant, standard	もうしこむ に は <b>いってい</b> の しかく が いる	You need certain qualifications to apply.	0	0
725	ていきけん	commuter's pass	<b>ていきけん</b> は いちまんにせんえん でした	The commuter pass was 1,2000 yen.	0	0
726	かわる	substitute, be substituted for@change	じょうし に <b>かわって</b> かいぎ に でた@しんごう が あお に <b>かわりました</b>。	I attended the conference in place of my boss.@The traffic light turned green.	0	0
727	よてい	schedule, plan	きょう の <b>よてい</b> を おしえて ください	Please tell me what your schedule is for today.	0	0
728	あく	evil, badness@become available or vacant@open	かれ は <b>あく</b> を にくんで います@うしろ の せき が <b>あいて います</b>@でんしゃ の どあ が <b>あきました</b>	He hates evil.@The rear seat is empty.@The train door opened.	0	0
729	てんきよほう	weather forecast	あした の <b>てんきよほう</b> は あめ です	Rain is forecast for tomorrow.	0	0
730	ぶどう	grapes	わたし は <b>ぶどう</b> が すき です	I like grapes.	0	0
731	よしゅう	preparation, previewing (a lesson)	あした の <b>よしゅう</b> を しましょう	Let's prepare for tomorrow.	0	0
732	よやく	reservation, subscription	れすとらん を <b>よやく</b> しました	I made a reservation at the restaurant.	0	0
733	やくそく	promise, vow	<b>やくそく</b> は まもります	I keep my promises.	0	0
734	めったに	rarely	かのじょ は <b>めったに</b> おこりません 。	She rarely gets angry.	0	0
735	たいへん	awful, serious	<b>たいへん</b> な こと が おこりました	A terrible thing happened.	0	0
736	へんか	change	ことし は <b>へんか</b> の おおい とし でした	There was a lot of change this year.	0	0
737	きょうか	strengthening	くに は こくご きょういく を <b>きょうか</b> して います	Our government is strengthening its program in native language education.	0	0
738	クリスマス	Christmas	<b>くりすます</b> に は けーき を たべます	We eat cake at Christmas.	0	0
739	ぶんか	culture	わたし は この くに の <b>ぶんか</b> を べんきょう して います	I'm studying this country's culture.	0	0
740	ふえる	increase, accrue	この まち は じんこう が <b>ふえた</b>	The population has increased in this town.	0	0
741	おこる	get angry, scold@happen	かのじょ が うそ を ついた の で かれ は <b>おこった</b>@まち で だいじけん が <b>おこりました</b>	He was angry because she lied to him.@There was a major incident in town.	0	0
742	ふやす	increase, add	あの まち は みどり を <b>ふやして います</b>	That town is increasing its greenery.	0	0
743	ネクタイ	tie, necktie	ちちのひ に <b>ねくたい</b> を ぷれぜんと した	I gave him a tie on Father's Day.	0	0
744	へらす	decrease, reduce	さいきん しょくじ を <b>へらして います</b>	I've been eating less recently.	0	0
745	のりもの	vehicle, conveyance	じてんしゃ は べんり な <b>のりもの</b> です	Bicycles are a convenient form of transport.	0	0
746	バイオリン	violin	かのじょ は <b>ばいおりん</b> を ならって います	She's learning the violin.	0	0
747	きもの	clothes, kimono	かのじょ は <b>きもの</b> が よく にあいます	She looks good in a kimono.	0	0
748	したぎ	underwear	わたし は <b>したぎ</b> を て で あらう	I wash my underwear by hand.	0	0
749	パスポート	passport	<b>ぱすぽーと</b> が みつからない	I can't find my passport.	0	0
750	うわぎ	coat, jacket	あつい の で <b>うわぎ</b> を ぬぎました	I took my jacket off because it was hot.	0	0
751	きせる	dress, put on clothes	むすめ に かわいい どれす を <b>きせた</b>	I dressed my daughter in a cute dress.	0	0
752	ぬぐ	remove clothes, take off	くつ を <b>ぬいで</b> ください	Please take off your shoes.	0	0
753	たちば	standpoint, position	かのじょ は じぶん の <b>たちば</b> を わかって いない	She doesn't understand her position.	0	0
754	バッグ	bag	わたし は くろい <b>ばっぐ</b> を もって います	I have a black bag.	0	0
755	めだつ	stand out, be conspicuous	かのじょ の おおき な ぼうし は とても <b>めだつ</b>	Her big hat really stands out.	0	0
756	やくにたつ	be useful, be helpful	わたし は ひとびと の <b>やくにたちたい</b> と おもって います	I want to be of service to others.	0	0
757	しゅっせき	attendance, presence	ごご は かいぎ に <b>しゅっせき</b> します	I'll attend a meeting in the afternoon.	0	0
758	ゴム	elastic	<b>ごむ</b> が のびて しまった	The elastic has gone loose.	0	0
759	けっせき	absence, nonattendance	かぜ の ため きょう は <b>けっせき</b> します	I'll be absent today because of a cold.	0	0
760	じなん	second son	<b>じなん</b> は いま かいがい に います	My second son is abroad now.	0	0
761	じじょ	second daughter	うち の <b>じじょ</b> は はる から ちゅうがくせい です	Our second daughter is going into junior high this spring.	0	0
762	ギター	guitar	かのじょ は <b>ぎたー</b> が とくい です	She's good at the guitar.	0	0
763	はこぶ	carry, transport	いす を にかい に <b>はこんで</b> ください	Please carry the chair to the second floor.	0	0
764	うんてん	drive	ちち は あんぜん <b>うんてん</b> だ	My father drives safely.	0	0
765	かいだん	conversation, meeting@steps, flight of stairs	<b>かいだん</b> の ないよう が はっぴょう されました@わたしたち は えき の <b>かいだん</b> を かけあがった	The content of the talks was announced.@We ran up the station steps.	0	0
766	うんてんしゅ	driver	かれ は たくしー の <b>うんてんしゅ</b> です	He's a taxi driver.	0	0
767	ころぶ	tumble down, fall over	おばあちゃん が おふろば で <b>ころんだ</b>	My grandma fell down in the bathroom.	0	0
768	さめる	cool off, subside@awake, wake up	かれ へ の きもち が <b>さめた</b>@けさ は ろくじ に め が <b>さめた</b>	My feelings for him have died down.@I woke up at six o'clock this morning.	0	0
769	セーター	sweater, pullover	この <b>せーたー</b> は うーる だ	This sweater is made of wool.	0	0
770	うごき	movement, motion	まず あいて の <b>うごき</b> を みましょう	First, watch your opponent's moves.	0	0
771	うんどう	movement, exercise	かれ は もっと <b>うんどう</b> した ほう が いい	He should exercise more.	0	0
772	やっぱり	just as I thought, after all	<b>やっぱり</b> たび が だいすき だ	I just love to travel.	0	0
773	かつどう	activity	かれ は ちいき の <b>かつどう</b> に さんか した	He took part in local activities.	0	0
774	どうぶつ	animal	わたし は <b>どうぶつ</b> が だいすき です	I love animals.	0	0
775	うごかす	move, operate	へや の かぐ を <b>うごかしました</b>	I moved the furniture in the room.	0	0
776	ふどうさんや	real estate agent, realtor	わたし の ちち は <b>ふどうさんや</b> です	My father's a real estate agent.	0	0
777	カーテン	curtain	あさ <b>かーてん</b> を あけた	I opened the curtains in the morning.	0	0
778	はやく	early, soon	なるべく <b>はやく</b> きて ください	Please come as early as possible.	0	0
779	はやくち	fast talking	かのじょ は <b>はやくち</b> だ	She talks quickly.	0	0
780	かわく	dry, run dry@be thirsty	なつ は せんたくもの が すぐ <b>かわく</b>@のど が <b>かわきました</b>	Laundry dries quickly in summer.@I'm thirsty.	0	0
781	はやさ	speed	しんかんせん の <b>はやさ</b> は どれ くらい です か	How fast is the bullet train?	0	0
782	そくたつ	special delivery, express mail	これ を <b>そくたつ</b> で おくりたい の です が	I want to send this by express delivery.	0	0
783	シャツ	shirt	この <b>しゃつ</b> は あいろん が ひつよう だ	This shirt needs ironing.	0	0
784	おくれる	be late	けさ かのじょ は がっこう に <b>おくれました</b>	She was late for school this morning.	0	0
785	かいし	beginning	うんどうかい は くじ <b>かいし</b> です	The athletic meet begins at nine o'clock.	0	0
786	はじめに	in the beginning, early in	<b>はじめに</b> すーぷ が でます	Soup is served first.	0	0
787	げんざい	the present, present time	<b>げんざい</b> の きおん は さんじゅうど です	The current temperature is 30 degrees.	0	0
788	ナイフ	knife	<b>ないふ</b> で て を きった	I cut my hand with a knife.	0	0
789	じつげん	implementation, realization	ゆめ を <b>じつげん</b> する に は どりょく が ひつよう です	You need to make an effort to make your dreams come true.	0	0
790	じっし	enforcement, implementation	げんざい すぺしゃるきゃんぺーん を <b>じっし</b>ちゅう です	A special campaign is now under way.	0	0
791	じじつ	fact, truth	それ は すべて <b>じじつ</b> です か	Is it all true?	0	0
792	じっこう	practice, execution	かれ は その けいかく を <b>じっこう</b> した	He executed the plan.	0	0
793	きょう	today	<b>きょう</b> は しごと が ありません	I have no work today.	0	0
794	こんにち	today, these days	<b>こんにち</b> の にほん の わかもの は おうべいか して いる	Young people in Japan today are westernized.	0	0
795	バイク	motorbike, motor cycle	あに は <b>ばいく</b> が だいすき です	My older brother loves motorcycles.	0	0
796	じっけん	experiment	かがく の じゅぎょう で <b>じっけん</b> を した	We did an experiment in science class.	0	0
797	つうか	passing, passage	つぎ の えき は <b>つうか</b> します	This train will not stop at the next station.	0	0
798	すぎる	pass by, exceed	とき が <b>すぎる</b> の は はやい 。	Time passes quickly.	0	0
799	ひるすぎ	early afternoon	かれ は <b>ひるすぎ</b> に きます	He'll come after lunch.	0	0
800	かこ	the past	それ は <b>かこ</b> の はなし だ	That's in the past now.	0	0
801	かいはつ	development	だむ の <b>かいはつ</b> に じゅうみん は はんたい して います	The residents are against the development of the dam.	0	0
802	はっせい	occurrence, happening	こうさてん で じこ が <b>はっせい</b> した	There was an accident at the intersection.	0	0
803	はつげん	utterance, speech	かいぎ で ぜんいん が <b>はつげん</b> した	Everyone spoke at the conference.	0	0
804	オレンジ	orange	わたし は <b>おれんじ</b> が すき です	I like oranges.	0	0
805	はっけん	discovery, revelation	あたらしい ほし が <b>はっけん</b> された	A new star was discovered.	0	0
806	しゅっぱつ	departure, starting	あと じゅうごふん で <b>しゅっぱつ</b> です	Departure will be in fifteen minutes.	0	0
807	はっしゃ	start, leave	ばす が <b>はっしゃ</b> します	The bus is leaving.	0	0
808	はっぴょう	announcement	ごうかくしゃ が <b>はっぴょう</b> された	Those who passed were announced.	0	0
809	ひょうげん	expression	かれ は うた で じぶん の きもち を <b>ひょうげん</b> した	He expressed his feelings in song.	0	0
810	だいひょう	representative	かれ が くらす の <b>だいひょう</b> だ	He's the class representative.	0	0
811	おもて	front side, face, outside	<b>おもて</b>に ひと が きて います	Someone has come to the door.	0	0
812	ひょう	table, list	この <b>ひょう</b> を みて ください	Please look at this chart.	0	0
813	さっき	some time ago, only a moment ago	<b>さっき</b> の はなし を つづけましょう	Let's continue the conversation we had earlier.	0	0
814	てがみ	letter	ゆうじん から <b>てがみ</b> を もらいました	I got a letter from a friend.	0	0
815	ざっし	magazine, journal	この <b>ざっし</b> は よく うれて います	This magazine sells well.	0	0
816	テキスト	textbook, text, text file	<b>てきすと</b> を よんで ください	Please read the textbook.	0	0
817	おとな	adult@adult	おさけ は <b>おとな</b> に なって から@あなた も だいぶ <b>おとな</b> に なった ね	You can drink alcohol when you're an adult.@You've grown up quite a bit.	0	0
818	おんがく	music	わたし は <b>おんがく</b> を きく の が すき だ	I like to listen to music.	0	0
819	くすり	drug, remedy, chemical	この <b>くすり</b> を かならず のんで ください	Please be sure to take this medicine.	0	0
820	うた	song	わたし は その <b>うた</b> を しらなかった 。	I didn't know that song.	0	0
821	ビニール	plastic bag	ごみ は その <b>びにーる</b>ぶくろ に いれて ください	Please put trash in that plastic bag.	0	0
822	かしゅ	singer	その <b>かしゅ</b> は うた が へた だ	That singer's terrible.	0	0
823	ほしがる	desire, wish for, covet	こども が じゅーす を <b>ほしがって います</b>	My kid wants some juice.	0	0
824	けいかく	plan, project	かれ は ひとりたび の <b>けいかく</b> を たてた	He planned a journey alone.	0	0
825	えいが	movie	かれ は よく <b>えいが</b> を みます	He often watches movies.	0	0
826	りんご	apple	<b>りんご</b> を ひとつ ください	Please give me one of the apples.	0	0
827	おもしろい	interesting, amusing	この ほん は ぜんぜん <b>おもしろく なかった</b>	This book wasn't interesting at all.	0	0
828	しゃしん	photograph	<b>しゃしん</b> は いい おもいで に なります	Photographs make a good souvenir.	0	0
829	アルバム	album	わたし は かれ の <b>あるばむ</b> を みた	I saw his album.	0	0
830	まっか	deep red	かれ の かお は <b>まっか</b> でした	His face was red.	0	0
831	まじめ	serious, sober, earnest	かれ は <b>まじめ</b> な ひと です	He's a serious-minded person.	0	0
832	まんなか	center, middle	みち の <b>まんなか</b> に ひと が たって いる	Someone is standing in the middle of the road.	0	0
833	まっしろ	pure-white	そと は ゆき で <b>まっしろ</b> だった	Everything outside was white with snow.	0	0
834	スカート	skirt	かのじょ は あまり <b>すかーと</b> は はかない	She doesn't wear skirts very often.	0	0
835	まっくら	pitch-dark	そと は <b>まっくら</b> です	It's pitch-dark outside.	0	0
836	まっくろ	deep-black, jet-black	いんく で て が <b>まっくろ</b> に なった	My hands got all black with ink.	0	0
837	まっさお	deep-blue, pale (skin)	そら が <b>まっさお</b> です	The sky is bright blue.	0	0
838	いろいろ	in various ways	かれ は <b>いろいろ</b> な こと を しって いる	He knows about a lot of things.	0	0
839	ペン	pen	<b>ぺん</b> を かして ください	Please lend me the pen.	0	0
840	にんぎょう	doll	かのじょ は <b>にんぎょう</b> を たくさん もって います	She has a lot of dolls.	0	0
841	かたち	shape, form	その いす は かわった <b>かたち</b> を して いる	That chair has an unusual shape.	0	0
842	おおがた	large, large scale	<b>おおがた</b> の てれび を かった	We bought a large television.	0	0
843	しゅるい	kind, species	ばら に は いろいろ な <b>しゅるい</b> が あります	There are many varieties of rose.	0	0
844	まっすぐ	dead straight, honestly	この みち を <b>まっすぐ</b> いって ください	Please go straight along this road.	0	0
845	ちょくせつ	directly	かれ に <b>ちょくせつ</b> おねがい しなさい	Ask him directly.	0	0
846	かど	corner, edge, angle	つぎ の <b>かど</b> で ひだり に まがって ください	Please turn left at the next corner.	0	0
847	きっと	surely, certainly	あした は <b>きっと</b> あめ が ふります	I'm sure it'll rain tomorrow.	0	0
848	さんかく	triangle	かみ を <b>さんかく</b> に きりました	I cut the paper into a triangle.	0	0
849	げんき	healthy, energetic@vigor, spirits	おかげさま で <b>げんき</b> です@かのじょ は さいきん <b>げんき</b> が ない です ね	I'm fine, thank you.@She has been in low spirits recently.	0	0
850	しかくい	square, four-sided	こっち の <b>しかくい</b> てーぶる を かおうよ	Let's buy this square table over here.	0	0
851	かた	type, mold@person　（polite form)@shoulder	あたらしい <b>かた</b> の かめら を かいました@つぎ の <b>かた</b> どうぞ@<b>かた</b> が こりました	I bought a new-model camera.@Next please.@My shoulders are stiff.	0	0
852	よつかど	street corner, intersection	あそこ の <b>よつかど</b> を ひだり に まがって ください	Please turn left at that crossroad up there.	0	0
853	メニュー	menu, bill of fare	<b>めにゅー</b> を ください	Please give me the menu.	0	0
854	まげる	bend, curve	ひざ を <b>まげて</b> ください	Please bend your knees.	0	0
855	まがりかど	corner	ぽすと は そこ の <b>まがりかど</b> に あります	There's a post box on that corner.	0	0
856	どうよう	similar	わたしたち は かれ を かぞく <b>どうよう</b> に おもって いる	We think of him just like family.	0	0
857	アイスクリーム	ice cream	おとうと は <b>あいすくりーむ</b> が だいすき です	My little brother loves ice cream.	0	0
858	まちがい	mistake, error	この ぶん に は <b>まちがい</b> が あります	There's a mistake in this sentence.	0	0
859	さくじつ	yesterday	<b>さくじつ</b> は あめ でした ね	It rained yesterday.	0	0
860	まちがえる	mistake, confuse	でんわ ばんごう を <b>まちがえました</b>	I called the wrong number.	0	0
861	まちがう	be mistaken, be incorrect	あなた は <b>まちがって いる</b>	You're mistaken.	0	0
862	にている	look like, resemble	わたし は はは に <b>にて います</b>	I look like my mother.	0	0
863	おしゃれ	dressing up smartly, trendy	あの こ は <b>おしゃれ</b> だ ね	That girl is trendy.	0	0
864	りょこう	travel, trip	かのじょ は <b>りょこう</b> が すき です	She likes traveling.	0	0
865	たいしかん	embassy	かれ は <b>たいしかん</b> に つとめて います	He's working for the embassy.	0	0
866	りょかん	Japanese inn	きょうと で は <b>りょかん</b> に とまりました	I stayed at an inn in Kyoto.	0	0
867	ジュース	juice, soft drink	この <b>じゅーす</b> は あま すぎる	This juice is too sweet.	0	0
868	えいがかん	movie theater	かれ と ちかく の <b>えいがかん</b> に いきました	I went to a nearby movie theater with him.	0	0
869	しゅくだい	homework	ともだち と いっしょ に <b>しゅくだい</b> を した	I did my homework with a friend.	0	0
870	あそび	play, amusement	おしょうがつ に は いろいろ な <b>あそび</b> を します	We play a lot of games at New Year's.	0	0
871	ゼロ	zero	きょう の こうつう じこ は <b>ぜろ</b> です	Today there were zero traffic accidents.	0	0
872	いつも	always@always, usually	かのじょ は <b>いつも</b> げんき だ@かのじょ の ようす が <b>いつも</b> と ちがう	She's always full of energy.@She looks different than usual.	0	0
873	ようふく	clothes	きょう は <b>ようふく</b> を かい に いきます	I'm going to buy some clothes today.	0	0
874	きょうしつ	classroom, class	わたし の <b>きょうしつ</b> は さんがい に あります	My classroom is on the third floor.	0	0
875	としょしつ	library	<b>としょしつ</b> で べんきょう した	I studied at the library.	0	0
876	まど	window, windowpane	<b>まど</b> を あけて ください	Please open the window.	0	0
877	ピンク	pink	むすめ が <b>ぴんく</b> の どれす を きて いる	My daughter's wearing a pink dress.	0	0
878	したしい	intimate, familiar	しゅうまつ <b>したしい</b> ともだち を いえ に よんだ	I invited a good friend to my house over the weekend.	0	0
879	ふしんせつ	unkind, inattentive	その てんいん は <b>ふしんせつ</b> だった	That store clerk was unkind.	0	0
880	かぞく	family, household	うち は ごにん <b>かぞく</b> です	We're a family of five.	0	0
881	グラス	glass	これ は きれい な <b>ぐらす</b> です ね	This is a beautiful glass.	0	0
882	ばんざい	Banzai! Hurrah! Long live...!	かった <b>ばんざい</b>	We won--hurray!	0	0
883	はたち	20 years old	いもうと は らいねん <b>はたち</b> に なります	My little sister will be 20 next year.	0	0
884	ねえさん	older sister, girl, miss	<b>ねえさん</b> ごめん ね	I'm sorry sis.	0	0
885	にいさん	older brother	<b>にいさん</b> おめでとう	Congratulations, big brother.	0	0
886	ダンス	dance, dancing	かのじょ は <b>だんす</b> が だいすき です	She loves to dance.	0	0
887	きょうだい	sibling	かれ は さんにん <b>きょうだい</b> です	He has two siblings.	0	0
888	ぎょうしゃ	businessman	ひっこし を <b>ぎょうしゃ</b> に たのんだ	I asked a company to handle my move.	0	0
889	わかもの	young person, youth	さいきん の <b>わかもの</b> は ほん を よまない	Young people these days don't read books.	0	0
890	かれら	they	<b>かれら</b> は ばすけっと の せんしゅ です	They're basketball players.	0	0
891	おじ	uncle	<b>おじ</b> は ぎんこう に つとめて います	My uncle works for a bank.	0	0
892	けつごう	combination, joining	ふぁいる を <b>けつごう</b> して ひとつ に しました	I consolidated the files into just one.	0	0
893	けっか	result, outcome	しあい の <b>けっか</b> を はやく しりたい	I want to know soon the results of the game.	0	0
894	くだもの	fruit	でざーと に <b>くだもの</b> を たべましょう	Let's have fruit for dessert.	0	0
895	かだい	task, problem	なつやすみ の <b>かだい</b> は なん です か	What's our summer assignment?	0	0
896	サッカー	soccer, football	かれ は <b>さっかー</b> の せんしゅ です	He's a soccer player.	0	0
897	じどうしゃ	automobile	かれ は <b>じどうしゃ</b> がいしゃ に しゅうしょく した	He got a job at a car company.	0	0
898	しぜん	nature@natural, naturally	みんな で <b>しぜん</b> を まもりましょう@おや が こども を まもる の は <b>しぜん</b> な こと だ	Let's all work to protect Nature.@It's natural that parents protect their children.	0	0
899	スープ	soup, broth	はは が こーん<b>すーぷ</b> を つくって いる	My mother made some corn chowder.	0	0
900	じしゅう	self-study, self-teaching	あす は <b>じしゅう</b> の じかん が ある	I have study time tomorrow.	0	0
901	りゆう	reason, cause	おくれた <b>りゆう</b> を おしえて ください	Please tell me why you were late.	0	0
902	じゆう	freedom	きょう は <b>じゆう</b> な じかん が おおい	I have a lot of free time today.	0	0
903	バナナ	banana	わたし は まいあさ <b>ばなな</b> を たべます	I eat a banana every morning.	0	0
904	しんじる	believe, trust, have faith in	かれ は きりすと を <b>しんじて いる</b>	He believes in Christ.	0	0
905	しんごう	signal, traffic light	<b>しんごう</b> が あお に なった	The traffic light turned green.	0	0
906	たのむ	ask, request	わたし は はんばーがー を <b>たのみました</b>	I ordered a hamburger.	0	0
907	しみん	citizens, townsmen	<b>しみん</b> の あんぜん は たいせつ だ	The citizens' safety is important.	0	0
908	あつさ	thickness@heat, summer heat	わたし は いた の <b>あつさ</b> を はかった@ことし の なつ は <b>あつさ</b> が きびしい	I measured the thickness of the board.@The heat this summer is overbearing.	0	0
909	じゅうみん	residents, dwellers	ちいき の <b>じゅうみん</b> が あつまって はなしあい を した	The local residents got together and talked.	0	0
