Kanji	English	Reading	Example Sentence	Example Sentence Reading	English Sentence	reading score	writing score
ぶつかる	hit, bump into	ぶつかる	車が電柱に<b>ぶつかった</b>。	くるま が でんちゅう に <b>ぶつかった</b>	The car crashed into the telephone pole.	0	0
情報	information	じょうほう	学生たちはインターネットでいろいろな<b>情報</b>を集めた。	がくせいたち は いんたーねっと で いろいろな <b>じょうほう</b> を あつめた	The students gathered all kinds of information on the Internet.	0	0
報告	report	ほうこく	昨日の会議について<b>報告</b>があります。	きのう の かいぎ に ついて <b>ほうこく</b> が あります	There's a report about yesterday's conference.	0	0
新聞	newspaper	しんぶん	今日の<b>新聞</b>、どこに置いた?	きょう の <b>しんぶん</b> どこ に おいた	Where did you put today's newspaper?	0	0
新年	New Year	しんねん	<b>新年</b>明けましておめでとうございます。	<b>しんねん</b> あけまして おめでとう ございます	Happy new year.	0	0
フィルム	film	フィルム	旅行のためにたくさん<b>フィルム</b>を買った。	りょこう の ため に たくさん <b>ふぃるむ</b> を かった	I bought a lot of film for the trip.	0	0
中心	center, middle	ちゅうしん	ここが建物の<b>中心</b>です。	ここ が たてもの の <b>ちゅうしん</b> です	This is the center of the building.	0	0
安心	peace of mind, relief	あんしん	それを聞いて<b>安心</b>しました。	それ を きいて <b>あんしん</b> しました	I was relieved to hear that.	0	0
思い出す	recollect, recall	おもいだす	大切な用事を<b>思い出しました</b>。	たいせつ な ようじ を <b>おもいだしました</b>	I just remembered something important I need to take care of.	0	0
デパート	department store, department	デパート	私は<b>デパート</b>で靴を買った。	わたし は <b>でぱーと</b> で くつ を かった	I bought shoes at the department store.	0	0
思い出	recollections, memory	おもいで	旅行で楽しい<b>思い出</b>ができました。	りょこう で たのしい <b>おもいで</b> が できました	I made wonderful memories during my trip.	0	0
考え	thought, view, idea	かんがえ	それは良い<b>考え</b>です。	それ は いい <b>かんがえ</b> です	That's a good idea.	0	0
解決	solution, settlement	かいけつ	トラブルがやっと<b>解決</b>した。	とらぶる が やっと <b>かいけつ</b> した	The problem has finally been solved.	0	0
知らせる	let know, inform	しらせる	皆に会議の日にちを<b>知らせた</b>。	みんな に かいぎ の ひにち を <b>しらせた</b>	I informed everyone of the day of the meeting.	0	0
ベッド	bed	ベッド	彼は<b>ベッド</b>で寝ています。	かれ は <b>べっど</b> で ねて います	He's sleeping in the bed.	0	0
能力	ability, capacity	のうりょく	彼は<b>能力</b>のある社員です。	かれ は <b>のうりょく</b> の ある しゃいん です	He's a resourceful employee.	0	0
可能	possible, potential	かのう	20キロのダイエットは<b>可能</b>だと思いますか。	にじゅっきろ の だいえっと は <b>かのう</b> だ と おもいます か	Do you think it's possible to go on a twenty kilogram diet?	0	0
可	permitted, OK	か	このアルバイトは「学生<b>可</b>」ですね。	この あるばいと は がくせい <b>か</b> です ね	So, students can apply for this part-time job, right?	0	0
郵便	mail service, postal matter	ゆうびん	さっき<b>郵便</b>が届きました。	さっき <b>ゆうびん</b> が とどきました	The mail has just arrived.	0	0
不便	inconvenient	ふべん	私の家は駅から遠くて<b>不便</b>です。	わたし の いえ は えき から とおく て <b>ふべん</b> です	My house is inconveniently located far from the station.	0	0
郵便屋さん	mailman	ゆうびんやさん	<b>郵便屋さん</b>はもう来ましたか。	<b>ゆうびんやさん</b> は もう きました か	Has the postman already come?	0	0
郵便局	post office	ゆうびんきょく	<b>郵便局</b>で切手を買いました。	<b>ゆうびんきょく</b>で きって を かいました	I bought a stamp at the post office.	0	0
交番	police box	こうばん	あそこの<b>交番</b>で道を聞きましょう。	あそこ の <b>こうばん</b> で みち を ききましょう	Let's ask for directions at that police box.	0	0
ノート	note book, laptop	ノート	<b>ノート</b>を開いてください。	<b>のーと</b> を ひらいて ください	Please open your notebook.	0	0
番地	lot number, address	ばんち	その建物の<b>番地</b>は分かりますか。	その たてもの の <b>ばんち</b> は わかります か	Do you know the building's plot number?	0	0
番号	number, serial number	ばんごう	この<b>番号</b>に電話してください。	この <b>ばんごう</b> に でんわ して ください	Please call this number.	0	0
場所	place, space	ばしょ	会社の<b>場所</b>を教えてください。	かいしゃ の <b>ばしょ</b> を おしえて ください	Please tell me where the office is.	0	0
近所	neighborhood	きんじょ	<b>近所</b>にカナダ人が住んでいる。	<b>きんじょ</b> に かなだじん が すんで いる	A Canadian lives in my neighborhood.	0	0
ワイン	wine	ワイン	<b>ワイン</b>を少し飲みました。	<b>わいん</b> を すこし のみました	I drank a little wine.	0	0
台所	kitchen	だいどころ	お母さんは<b>台所</b>にいます。	おかあさん は <b>だいどころ</b> に います	Mother's in the kitchen.	0	0
住所	one's dwelling, address	じゅうしょ	この<b>住所</b>に行ってください。	この <b>じゅうしょ</b> に いって ください	Please go to this address.	0	0
便所	lavatory, bathroom	べんじょ	<b>便所</b>はそこです。	<b>べんじょ</b> は そこ です	The bathroom is there.	0	0
有名	famous	ゆうめい	ボルドーはワインの生産で<b>有名</b>だ。	ぼるどー は わいん の せいさん で <b>ゆうめい</b> だ	Bordeau is famous for wine production.	0	0
名字	surname, family name	みょうじ	あなたの<b>名字</b>は何ですか。	あなた の <b>みょうじ</b> は なん です か	What's your surname?	0	0
氏名	name	しめい	ここに住所と<b>氏名</b>を書いてください。	ここ に じゅうしょ と <b>しめい</b> を かいて ください	Please write your name and address here.	0	0
各国	every country	かっこく	<b>各国</b>の代表がニューヨークに集まった。	<b>かっこく</b> の だいひょう が にゅーよーく に あつまった	Each country's representatives assembled in New York.	0	0
町	town, machi, city quarter	まち	あの<b>町</b>は緑を増やしています。	あの <b>まち</b> は みどり を ふやして います	That town is increasing its greenery.	0	0
トイレ	toilet	トイレ	<b>トイレ</b>を掃除しましたか。	<b>といれ</b> を そうじ しました か	Did you clean the toilet?	0	0
都市	cities, urban community	とし	東京は日本一大きな<b>都市</b>です。	とうきょう は にほんいち おおき な <b>とし</b> です	Tokyo is the largest city in Japan.	0	0
都合	circumstances	つごう	今日は<b>都合</b>が悪くて行けません。	きょう は <b>つごう</b> が わるくて いけません	I can't go today because it's not convenient for me.	0	0
朝御飯	breakfast	あさごはん	七時に<b>朝御飯</b>を食べました。	しちじ に <b>あさごはん</b> を たべました	I ate breakfast at seven o'clock.	0	0
買い物	shopping, purchase	かいもの	母は<b>買い物</b>に出かけています。	はは は <b>かいもの</b> に でかけて います	My mother's gone shopping.	0	0
キャンプ	camping, camp	キャンプ	友達と<b>キャンプ</b>に行った。	ともだち と <b>きゃんぷ</b> に いった	I went camping with a friend.	0	0
荷物	baggage, load	にもつ	彼の家に<b>荷物</b>を送りました。	かれ の いえ に <b>にもつ</b> を おくりました	I sent a package to his house.	0	0
品物	article, thing	しなもの	その店は色々な<b>品物</b>を売っている。	その みせ は いろいろ な <b>しなもの</b> を うって いる	The shop sells a lot of products.	0	0
見物	sightseeing, visit	けんぶつ	皆で東京<b>見物</b>をした。	みんな で とうきょう <b>けんぶつ</b> を した	We all went sightseeing in Tokyo.	0	0
物	thing, object	もの	彼女の家には<b>物</b>がたくさんあります。	かのじょ の いえ に は <b>もの</b> が たくさん あります	There are a lot of things in her house.	0	0
プラスチック	plastic	プラスチック	このカップは<b>プラスチック</b>です。	この かっぷ は <b>ぷらすちっく</b> です	This cup is plastic.	0	0
忘れ物	something left behind, lost item	わすれもの	学校に<b>忘れ物</b>をしました。	がっこう に <b>わすれもの</b> を しました	I left something behind at school.	0	0
重さ	weight	おもさ	この荷物の<b>重さ</b>を計ってください。	この にもつ の <b>おもさ</b> を はかって ください	Please weigh this luggage.	0	0
配る	hand out, distribute, allot	くばる	会議で書類を<b>配った</b>。	かいぎ で しょるい を <b>くばった</b>	I handed out the document at the meeting.	0	0
配達	delivery	はいたつ	彼は新聞<b>配達</b>をしている。	かれ は しんぶん <b>はいたつ</b> を して いる	He's delivering newspapers.	0	0
カラー	color	カラー	<b>カラー</b>コピーは一枚幾らですか。	<b>からー</b>こぴー は いちまい いくら です か	How much is one color copy?	0	0
心配	anxiety, worry, good offices	しんぱい	明日のプレゼンテーションが<b>心配</b>だ。	あす の ぷれぜんてーしょん が <b>しんぱい</b> だ	I'm worried about tomorrow's presentation.	0	0
見送る	see (someone) off	みおくる	彼が外国に行くのを<b>見送りました</b>。	かれ が がいこく に いく の を <b>みおくりました</b>	I saw him off on his trip overseas.	0	0
見送り	seeing someone off	みおくり	駅に友人の<b>見送り</b>に行きました。	えき に ゆうじん の <b>みおくり</b> に いきました	I went to the station to see off a friend.	0	0
受ける	receive, accept	うける	彼は就職試験を<b>受けた</b>。	かれ は しゅうしょく しけん を <b>うけた</b>	He took an exam to apply for a job.	0	0
ピアノ	piano	ピアノ	昔、<b>ピアノ</b>を習っていました。	むかし <b>ぴあの</b> を ならって いました	I used to learn the piano.	0	0
受け取る	receive, understand	うけとる	彼からメールを<b>受け取りました</b>。	かれ から めーる を <b>うけとりました</b>	I got an email from him.	0	0
書き取る	write down, note down	かきとる	話しのポイントを<b>書き取った</b>。	はなし の ぽいんと を <b>かきとった</b>	I wrote down the main points of what was said.	0	0
届く	reach, be received	とどく	昨日、父から手紙が<b>届いた</b>。	きのう ちち から てがみ が <b>とどいた</b>	I got a letter from my father yesterday.	0	0
スキー	ski, skiing	スキー	冬はよく<b>スキー</b>に行きます。	ふゆ は よく <b>すきー</b> に いきます	We go skiing a lot in winter.	0	0
届ける	deliver, give notice	とどける	これを彼に<b>届けて</b>ください。	これ を かれ に <b>とどけて</b> ください	Please send this to him.	0	0
金持ち	wealthy person	かねもち	彼は<b>金持ち</b>です。	かれ は <b>かねもち</b> です	He's rich.	0	0
持って行く	take	もっていく	水を<b>持って行きましょう</b>。	みず を <b>もっていきましょう</b>	Let's take some water with us.	0	0
持って来る	bring	もってくる	そのいすを<b>持って来て</b>ください。	その いす を <b>もって きて</b> ください	Please bring that chair.	0	0
打つ	hit, strike	うつ	転んでひざを<b>打ちました</b>。	ころんで ひざ を <b>うちました</b>	I fell down and hit my knee.	0	0
投げる	throw, abandon	なげる	ボールをこっちに<b>投げて</b>ください。	ぼーる を こっち に <b>なげて</b> ください	Please throw the ball over here.	0	0
生まれる	be born, come into existence	うまれる	姉夫婦に男の子が<b>生まれました</b>。	あね ふうふ に おとこのこ が <b>うまれました</b>	My sister and her husband had a baby boy.	0	0
プール	pool	プール	私は夏休みに<b>プール</b>に行った。	わたし は なつやすみ に <b>ぷーる</b> に いった	I went to the pool during summer vacation.	0	0
生む	have children	うむ	うちのネコが子猫を<b>生みました</b>。	うち の ねこ が こねこ を <b>うみました</b>	Our cat had kittens.	0	0
女性	woman, female	じょせい	そのパーティーに<b>女性</b>は何人来ますか。	その ぱーてぃー に <b>じょせい</b> は なんにん きます か	How many women are coming to that party?	0	0
生産	production	せいさん	ボルドーはワインの<b>生産</b>で有名だ。	ぼるどー は わいん の <b>せいさん</b> で ゆうめい だ	Bordeau is famous for wine production.	0	0
お土産	souvenir	おみやげ	父は<b>お土産</b>にお菓子を買ってきた。	ちち は <b>おみやげ</b> に おかし を かって きた	My father bought some sweets as a souvenir.	0	0
ホーム	platform	ホーム	もうすぐこの<b>ホーム</b>に電車が来ます。	もうすぐ この <b>ほーむ</b> に でんしゃ が きます	The train will arrive on this platform soon.	0	0
生活	life, living	せいかつ	日本での<b>生活</b>は楽しいです。	にほん で の <b>せいかつ</b> は たのしい です	Life in Japan is fun.	0	0
生徒	pupil, student	せいと	このクラスの<b>生徒</b>は30人です。	この くらす の <b>せいと</b> は さんじゅうにん です	There are 30 students in this class.	0	0
中学	junior high school	ちゅうがく	息子は<b>中学</b>に通っています。	むすこ は <b>ちゅうがく</b> に かよって います	My son goes to junior high.	0	0
入学	enter a school, matriculate	にゅうがく	妹は九月にアメリカの大学に<b>入学</b>します。	いもうと は くがつ に あめりか の だいがく に <b>にゅうがく</b> します	My little sister's entering college in the United States in September.	0	0
エレベーター	elevator	エレベーター	<b>エレベーター</b>で下に降りましょう。	<b>えれべーたー</b> で した に おりましょう	Let's take the elevator down.	0	0
中学生	junior high school student	ちゅうがくせい	息子は<b>中学生</b>です。	むすこ は <b>ちゅうがくせい</b> です	My son is a junior high school student.	0	0
小学生	schoolchildren, schoolboy	しょうがくせい	うちの息子は来年、<b>小学生</b>になります。	うち の むすこ は らいねん <b>しょうがくせい</b> に なります	Our son will start primary school next year.	0	0
見学	observation tour, study tour, field trip	けんがく	今日、工場の<b>見学</b>に行きました。	きょう こうじょう の <b>けんがく</b> に いきました	We went on a field trip to a factory today.	0	0
通学	attending school, going to school	つうがく	毎朝、<b>通学</b>に1時間かかる。	まいあさ <b>つうがく</b> に いちじかん かかる	It takes me an hour to go to school every morning.	0	0
メモ	memorandum, memo pad	メモ	<b>メモ</b>を取ってください。	<b>めも</b> を とって ください	Please take notes.	0	0
高校	high school	こうこう	妹は<b>高校</b>に通っています。	いもうと は <b>こうこう</b> に かよって います	My little sister goes to high school.	0	0
小学校	elementary school	しょうがっこう	家の近くに<b>小学校</b>があります。	いえ の ちかく に <b>しょうがっこう</b> が あります	There's an elementary school near my house.	0	0
中学校	junior high school	ちゅうがっこう	息子の<b>中学校</b>は家から5分です。	むすこ の <b>ちゅうがっこう</b> は いえ から ごふん です	My son's junior high is five minutes from our house.	0	0
校長	principal, schoolmaster	こうちょう	あの人は高校の<b>校長</b>だ。	あの ひと は こうこう の <b>こうちょう</b> だ	That person is a high school principal.	0	0
パン	bread	パン	朝ご飯にはいつも<b>パン</b>を食べる。	あさごはん に は いつも <b>ぱん</b> を たべる	I always eat bread for breakfast.	0	0
休校	temporary closure of school	きゅうこう	学校は今週は<b>休校</b>です。	がっこう は こんしゅう は <b>きゅうこう</b> です	School is closed this week.	0	0
教会	church	きょうかい	私たちは<b>教会</b>で結婚式をしました。	わたしたち は <b>きょうかい</b> で けっこんしき を しました	We had our wedding in a church.	0	0
教育	education	きょういく	彼は海外で<b>教育</b>を受けました。	かれ は かいがい で <b>きょういく</b> を うけました	He received his education abroad.	0	0
育てる	bring up, breed	そだてる	彼女は三人の子を<b>育てました</b>。	かのじょ は さんにん の こ を <b>そだてました</b>	She raised three children.	0	0
びっくりする	surprised	びっくりする	大きな音に<b>びっくりしました</b>。	おおきな おと に <b>びっくり しました</b>	I was startled by a sudden sound.	0	0
育つ	be brought up, grow	そだつ	野菜がよく<b>育っている</b>。	やさい が よく <b>そだって いる</b>	The vegetables are growing well.	0	0
制度	system, organization	せいど	来年から新しい<b>制度</b>が始まります。	らいねん から あたらしい <b>せいど</b> が はじまります	A new system will start from next year.	0	0
強さ	strength, power	つよさ	風の<b>強さ</b>に驚きました。	かぜ の <b>つよさ</b> に おどろきました	I was surprised by the strength of the wind.	0	0
取引	transaction, dealings	とりひき	私たちは中国の会社と<b>取引</b>しています。	わたしたち は ちゅうごく の かいしゃ と <b>とりひき</b> して います	We're dealing with a Chinese company.	0	0
コート	court@coat, jacket	コート@コート	新しい<b>コート</b>でテニスをしました。@寒かったので<b>コート</b>を着た。	あたらしい <b>こーと</b> で てにす を しました@さむかった の で <b>こーと</b> を きた	I played tennis on the new court.@I put on a coat because it was cold.	0	0
ズボン	trousers, pants	ズボン	<b>ズボン</b>が汚れた。	<b>ずぼん</b> が よごれた	My trousers got dirty.	0	0
引き出し	drawer, withdrawal	ひきだし	財布は<b>引き出し</b>の中にあります。	さいふ は <b>ひきだし</b> の なか に あります	My purse is in the drawer.	0	0
押さえる	hold down	おさえる	ドアを<b>押さえて</b>ください。	どあ を <b>おさえて</b> ください	Please hold the door.	0	0
押し入れ	closet	おしいれ	布団を<b>押し入れ</b>にしまいました。	ふとん を <b>おしいれ</b> に しまいました	I put my futon in the closet.	0	0
練習	practice, training	れんしゅう	娘は今、バイオリンを<b>練習</b>しています。	むすめ は いま ばいおりん を <b>れんしゅう</b> して います	My daughter is practicing the violin now.	0	0
おかしい	strange, peculiar, suspicious@funny, amusing, comical	おかしい@おかしい	彼の様子が<b>おかしい</b>。@彼の話は<b>おかしかった</b>。	かれ の ようす が <b>おかしい</b>@かれ の はなし は <b>おかしかった</b>	He's acting strange.@His story was funny.	0	0
おもちゃ	toy, plaything	おもちゃ	赤ちゃんが自動車の<b>おもちゃ</b>で遊んでいる。	あかちゃん が じどうしゃ の <b>おもちゃ</b> で あそんで いる	The baby's playing with the toy car.	0	0
習う	learn, practice	ならう	彼は空手を<b>習っています</b>。	かれ は からて を <b>ならって います</b>	He's learning karate.	0	0
慣れる	grow accustomed to	なれる	新しい家にはもう<b>慣れました</b>か。	あたらしい いえ に は もう <b>なれました</b> か	Have you gotten used to the new house yet?	0	0
習慣	custom, habit	しゅうかん	毎朝コーヒーを飲むのが<b>習慣</b>です。	まいあさ こーひー を のむ の が <b>しゅうかん</b> です	I'm in the habit of drinking coffee every morning.	0	0
研究	research, study	けんきゅう	彼は何年も地震の<b>研究</b>をしている。	かれ は なんねん も じしん の <b>けんきゅう</b> を して いる	He's been researching earthquakes for many years.	0	0
グラム	gram	グラム	ひき肉を200<b>グラム</b>ください。	ひきにく を にひゃく<b>ぐらむ</b> ください	Please give me 200 grams of ground (beef, chicken, etc.)	0	0
試験	test, examination	しけん	明日の<b>試験</b>、頑張ってね。	あした の <b>しけん</b> がんばって ね	Good luck on tomorrow's exam.	0	0
問題	problem, question	もんだい	<b>問題</b>が一つあります。	<b>もんだい</b> が ひとつ あります	There's one problem.	0	0
簡単	simple, easy	かんたん	この料理はとても<b>簡単</b>です。	この りょうり は とても <b>かんたん</b> です	This dish is very easy to make.	0	0
複雑	complicated, intricate	ふくざつ	このプログラムはとても<b>複雑</b>です。	この ぷろぐらむ は とても <b>ふくざつ</b> です	This program is very complicated.	0	0
コーヒー	coffee	コーヒー	私は毎朝<b>コーヒー</b>を飲みます。	わたし は まいあさ <b>こーひー</b> を のみます	I drink coffee every morning.	0	0
数字	figure, numeral	すうじ	<b>数字</b>は苦手です。	<b>すうじ</b> は にがて です	I'm not good with numbers.	0	0
数学	mathematics	すうがく	兄は<b>数学</b>の先生です。	あに は <b>すうがく</b> の せんせい です	My big brother's a math teacher.	0	0
数える	count, calculate	かぞえる	いすの数を<b>数えて</b>ください。	いす の かず を <b>かぞえて</b> ください	Please count the number of chairs.	0	0
今回	this time	こんかい	まあ<b>今回</b>は許してあげよう。	まあ <b>こんかい</b> は ゆるして あげよう	Well, I'll let you off this time.	0	0
テント	tent	テント	みんなで<b>テント</b>を張りました。	みんな で <b>てんと</b> を はりました	We all put up the tent together.	0	0
回る	turn round, go round, detour	まわる	月は地球のまわりを<b>回っています</b>。	つき は ちきゅう の まわり を <b>まわって います</b>	The moon spins around the earth.	0	0
回す	turn, rotate	まわす	ねじは左に<b>回す</b>と外れます。	ねじ は ひだり に <b>まわす</b> と はずれます	If you turn the screw to the left it will come undone.	0	0
個人	individual	こじん	これは私<b>個人</b>の意見です。	これ は わたし <b>こじん</b> の いけん です	This is my personal opinion.	0	0
担当	person in charge	たんとう	私はセールスを<b>担当</b>しています。	わたし は せーるす を <b>たんとう</b> して います	I'm in charge of sales.	0	0
ボート	boat	ボート	池で<b>ボート</b>に乗りました。	いけ で <b>ぼーと</b> に のりました	I got on the boat at the pond.	0	0
当たる	hit, strike	あたる	ボールが彼の頭に<b>当たった</b>。	ぼーる が かれ の あたま に <b>あたった</b>	The ball hit him on the head.	0	0
当時	at that time, at the present time	とうじ	彼女は<b>当時</b>、まだ3才だった。	かのじょ は <b>とうじ</b> まだ さんさい だった	She was only three years old at the time.	0	0
本当	truth, reality	ほんとう	その話は<b>本当</b>ですか。	その はなし は <b>ほんとう</b> です か	Is the story true?	0	0
当然	natural, as a matter of course	とうぜん	彼女が怒るのも<b>当然</b>だ。	かのじょ が おこる の も <b>とうぜん</b> だ	It's natural that she should be angry.	0	0
ボール	ball	ボール	彼は<b>ボール</b>を投げた。	かれ は <b>ぼーる</b> を なげた	He threw the ball.	0	0
全然	wholly, at all	ぜんぜん	この本は<b>全然</b>面白くなかった。	この ほん は <b>ぜんぜん</b> おもしろく なかった	This book wasn't interesting at all.	0	0
方法	method, procedure	ほうほう	いい<b>方法</b>を思いつきました。	いい <b>ほうほう</b> を おもいつきました	We hit on a good method.	0	0
法律	law	ほうりつ	新しい<b>法律</b>ができた。	あたらしい <b>ほうりつ</b> が できた	A new law has been passed.	0	0
規則	rule, regulation	きそく	あの会社の<b>規則</b>は厳しいです。	あの かいしゃ の <b>きそく</b> は きびしい です	That company's rules are strict.	0	0
オートバイ	motorbike, motorcycle	オートバイ	彼は<b>オートバイ</b>に乗っている。	かれ は <b>おーとばい</b> に のって いる	He rides a motorcycle.	0	0
経験	experience	けいけん	今日の試合はいい<b>経験</b>になりました。	きょう の しあい は いい <b>けいけん</b> に なりました	Today's game was a good experience.	0	0
経つ	pass, elapse	たつ	あれから14年が<b>経ちました</b>。	あれ から じゅうよねん が <b>たちました</b>	Fourteen years have passed since then.	0	0
経済	economy, economics	けいざい	大学で<b>経済</b>を勉強しました。	だいがく で <b>けいざい</b> を べんきょう しました	I studied economics in college.	0	0
経営	management, operation	けいえい	我が社の<b>経営</b>はうまくいっています。	わがしゃ の <b>けいえい</b> は うまく いって います	Our company is well managed.	0	0
ひどい	cruel, severe	ひどい	妹と<b>ひどい</b>喧嘩をした。	いもうと と <b>ひどい</b> けんか を した	I had an awful fight with my little sister.	0	0
株	stocks, shares	かぶ	最近<b>株</b>を始めました。	さいきん <b>かぶ</b> を はじめました	I recently started investing in stocks.	0	0
企業	corporation, business	きぎょう	彼女はアメリカの<b>企業</b>で働いています。	かのじょ は あめりか の <b>きぎょう</b> で はたらいて います	She works in an American company.	0	0
作業	work, operation	さぎょう	<b>作業</b>するにはもっと広いスペースが必要だ。	<b>さぎょう</b> する に は もっと ひろい すぺーす が ひつよう だ	I need a bigger space to work.	0	0
産業	industry	さんぎょう	日本の自動車<b>産業</b>は世界的に有名だ。	にほん の じどうしゃ <b>さんぎょう</b> は せかいてき に ゆうめい だ	The Japanese auto industry is famous worldwide.	0	0
あなた	you	あなた	この本、<b>あなた</b>にあげます。	この ほん <b>あなた</b> に あげます	I'll give you this book.	0	0
工業	industry, manufacturing industry	こうぎょう	そこは<b>工業</b>都市だ。	そこ は <b>こうぎょう</b> とし だ	That's an industrial city.	0	0
商業	commerce, trade	しょうぎょう	この町では<b>商業</b>が盛んだ。	この まち で は <b>しょうぎょう</b> が さかん だ	Business is thriving in this city.	0	0
利用	utilization, usage	りよう	私はよく図書館を<b>利用</b>します。	わたし は よく としょかん を <b>りよう</b> します	I often use the library.	0	0
便利	convenience, handiness	べんり	インターネットはとても<b>便利</b>です。	いんたーねっと は とても <b>べんり</b> です	The Internet is very convenient.	0	0
スイッチ	switch	スイッチ	彼はカーラジオの<b>スイッチ</b>を入れた。	かれ は かーらじお の <b>すいっち</b> を いれた	He hit the switch on his car radio.	0	0
技術	skill, technology	ぎじゅつ	彼は非常に高い<b>技術</b>を持っている。	かれ は ひじょう に たかい <b>ぎじゅつ</b> を もって いる	He has very advanced skills.	0	0
手術	surgical operation	しゅじゅつ	父は胸の<b>手術</b>をした。	ちち は むね の <b>しゅじゅつ</b> を した	My father had a chest operation.	0	0
製造	production, manufacture	せいぞう	この工場ではエアコンを<b>製造</b>しています。	この こうじょう で は えあこん を <b>せいぞう</b> して います	This factory manufactures air conditioning units.	0	0
必ず	without fail, certainly	かならず	<b>必ず</b>シートベルトを着けて下さい。	<b>かならず</b> しーとべると を つけて ください	Always wear your seat belt.	0	0
プレゼント	present, gift	プレゼント	誕生日に<b>プレゼント</b>をもらいました。	たんじょうび に <b>ぷれぜんと</b> を もらいました	I got some presents on my birthday.	0	0
必要	need, necessity	ひつよう	私にはたくさんのお金が<b>必要</b>だ。	わたし に は たくさん の おかね が <b>ひつよう</b> だ	I need a lot of money.	0	0
重要	important, essential	じゅうよう	これは<b>重要</b>な書類です。	これ は <b>じゅうよう</b> な しょるい です	This is an important document.	0	0
要求	requirement, demand	ようきゅう	彼は私の<b>要求</b>にこたえた。	かれ は わたし の <b>ようきゅう</b> に こたえた	He answered my demands.	0	0
目覚まし時計	alarm clock	めざましどけい	7時に<b>目覚まし時計</b>が鳴りました。	しちじ に <b>めざましどけい</b> が なりました	The alarm clock went off at seven o'clock.	0	0
いつでも	always, at all times	いつでも	<b>いつでも</b>うちに来てください。	<b>いつでも</b> うち に きて ください	Please come to my house any time.	0	0
計算	calculation	けいさん	その<b>計算</b>は間違っている。	その <b>けいさん</b> は まちがって いる	That calculation is wrong.	0	0
引き算	subtraction	ひきざん	娘は学校で<b>引き算</b>を習っている。	むすめ は がっこう で <b>ひきざん</b> を ならって いる	My daughter's learning subtraction at school.	0	0
足し算	addition	たしざん	娘は学校で<b>足し算</b>を習った。	むすめ は がっこう で <b>たしざん</b> を ならった	My daughter learned addition in school.	0	0
交差点	crossing, intersection	こうさてん	次の<b>交差点</b>を左に曲がってください。	つぎ の <b>こうさてん</b> を ひだり に まがって ください	Please turn left at the next intersection.	0	0
テニス	tennis	テニス	彼らはよく<b>テニス</b>をしています。	かれら は よく <b>てにす</b> を して います	They often play tennis.	0	0
割る	divide, crack, split	わる	皿を落として<b>割った</b>。	さら を おとして <b>わった</b>	I dropped the plate and broke it.	0	0
割れる	crack, be divided, split	われる	コップが落ちて<b>割れた</b>。	こっぷ が おちて <b>われた</b>	The glass fell and broke.	0	0
割り算	division	わりざん	<b>割り算</b>は小学校で習います。	<b>わりざん</b> は しょうがっこう で ならいます	Division is learned in elementary school.	0	0
残る	remain, be left over	のこる	料理がたくさん<b>残りました</b>。	りょうり が たくさん <b>のこりました</b>	A lot of food was left over.	0	0
こちら	here, this way	こちら	受付は<b>こちら</b>です。	うけつけ は <b>こちら</b> です	The reception desk is this way.	0	0
残す	leave, reserve, leave undone	のこす	彼女はメッセージを<b>残しました</b>。	かのじょ は めっせーじ を <b>のこしました</b>	She left a message.	0	0
そば	side, vicinity@buckwheat noodles, soba	そば@そば	<b>そば</b>にいて下さい。@お昼に<b>そば</b>を食べた。	<b>そば</b> に いて ください@おひる に <b>そば</b> を たべた	Stay with me.@I ate buckwheat noodles for lunch.	0	0
返す	return, repay	かえす	図書館に本を<b>返した</b>。	としょかん に ほん を <b>かえした</b>	I returned the book to the library.	0	0
返事	answer, reply	へんじ	手紙の<b>返事</b>を出しました。	てがみ の <b>へんじ</b> を だしました	I sent a reply to the letter.	0	0
借りる	borrow	かりる	彼にビデオを<b>借りました</b>。	かれ に びでお を <b>かりました</b>	I borrowed a video from him.	0	0
ボタン	button	ボタン	<b>ボタン</b>を押してください。	<b>ぼたん</b> を おして ください	Please press the button.	0	0
貸す	lend, lease	かす	私は彼に本を<b>貸しています</b>。	わたし は かれ に ほん を <b>かして います</b>	I'm lending him the book.	0	0
貸し出す	lend, lend out	かしだす	その本は<b>貸し出し</b>中です。	その ほん は <b>かしだし</b>ちゅう です	That book is currently on loan.	0	0
申し込む	apply, make a proposal	もうしこむ	彼女はそのセミナーに<b>申し込んだ</b>。	かのじょ は その せみなー に <b>もうしこんだ</b>	She registered for that workshop.	0	0
期待	expectation, anticipation	きたい	みんな私たちに<b>期待</b>しています。	みんな わたしたち に <b>きたい</b> して います	Everyone has high expectations of us.	0	0
期間	term, period	きかん	テスト<b>期間</b>は10日から15日までだ。	てすと <b>きかん</b> は とおか から じゅうごにち まで だ	The test period is from the 10th to the 15th.	0	0
時期	time, season	じき	今はあなたにとって大事な<b>時期</b>です。	いま は あなた に とって だいじ な <b>じき</b> です	It's an important time for you now.	0	0
限る	be limited to	かぎる	このサービスは週末に<b>限ります</b>	この さーびす は しゅうまつ に <b>かぎります</b>	This service is limited to weekends.	0	0
急ぐ	hurry, hasten	いそぐ	私たちは駅へ<b>急ぎました</b>。	わたしたち は えき へ <b>いそぎました</b>	We hurried to the station.	0	0
